major,school,degree_level,academic_year,plan_status,requirement_group,course_code,course_title,course_type,credit_hours,prerequisites,source_page,source
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401131,Understanding Architecture I,,,-,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401171,Creative Design Studio,,,-,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401172,Construction Design Project (Arch) – Pearson Set,,,50401171,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401211,Digital Fabrication Workshop,,,3,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401212,Scripting for Construction,,,50401121 Digital Applications for Construction Information,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401213,Virtual Reality Techniques in Construction,,,50401121 Digital Applications for Construction Information,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401221,Construction Technology,,,50402121,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401231,Understanding Architecture II,,,50401131,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401232,Principles of Refurbishment,,,50401131,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401271,Design Studio: Experimental Design,,,50401171,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401272,Design Studio: Modular Buildings,,,50401171,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401273,Design Studio: Culture and Identity,,,50401172,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401274,Design Studio: Retrofitting and Adaptive Re-use,,,50401172,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401311,"Surveying for Conservation, Renovation & Refurbishment",,,50401121,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401321,Advanced Building Information Modeling,,,50401121,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401322,Building Management Systems,,,50401221,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401323,Construction Technology for Complex Building Projects,,,50401221,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401361,Principles of Green Buildings,,,Functional Physics,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401371,Design Studio: Sustainable Design,,,50401273 or 50401274,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401372,Design Studio: Complex Buildings,,,50401273 or 50401274,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401373,Design Studio: Parametric Architecture,,,50401273 or 50401274,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401374,Design Studio: Housing Planning and Design,,,50401273 or 50401274,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50402121,Structural Systems: Morphology & Behavior,,,Functional Physics,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
